Link,precio,expensas,Barrio,Sup. cubierta,Antiguedad,Baños,Ambientes,Disposición,Orientación,Dormitorios,Toilettes,Estado,Cocheras,Apto profesional,Permite mascota,Moneda,Total,Barrio_simplificado,m2,precio_m2,expensas_ratio,amb_m2,Antig_binned,log_total
https://www.argenprop.com/departamento-alquiler--18048667,550000.0,84000.0,"Agronomia, Capital Federal",34.0,10.0,1.0,,Interno,Oeste,,,,,,,$,634000.0,Agronomía,34.0,18647.058823529413,0.13249211356466878,,6-10,13.359805810705184
https://www.argenprop.com/departamento-alquiler--18269586,1000000.0,265000.0,"Agronomia, Capital Federal",,15.0,1.0,3.0,Lateral,Este,2.0,1.0,Excelente,,,,$,1265000.0,Agronomía,,,0.20948616600790515,,11-20,14.05058347065728
https://www.argenprop.com/departamento-alquiler--17701806,490000.0,0.0,"Agronomia, Capital Federal",40.0,10.0,1.0,,Frente,Este,,,Excelente,,,,$,490000.0,Agronomía,40.0,12250.0,0.0,,6-10,13.102162710901053
https://www.argenprop.com/departamento-alquiler--17998788,580000.0,140000.0,"Agronomia, Capital Federal",50.0,6.0,1.0,2.0,Frente,Este,1.0,,Muy Bueno,,,,$,720000.0,Agronomía,50.0,14400.0,0.19444444444444445,0.04,6-10,13.487007879880162
https://www.argenprop.com/departamento-alquiler--18181336,800000.0,250000.0,"Agronomia, Capital Federal",57.0,10.0,2.0,3.0,Contra frente,Noroeste,2.0,,,,,,$,1050000.0,Agronomía,57.0,18421.052631578947,0.23809523809523808,0.05263157894736842,6-10,13.864301674514206
https://www.argenprop.com/departamento-alquiler--18164900,500000.0,78000.0,"Agronomia, Capital Federal",43.0,40.0,1.0,2.0,Lateral,Norte,1.0,,Bueno,,,,$,578000.0,Agronomía,43.0,13441.860465116279,0.13494809688581316,0.046511627906976744,21-40,13.267330877756825
https://www.argenprop.com/departamento-alquiler--17959305,1000000.0,295000.0,"Agronomia, Capital Federal",95.0,40.0,1.0,4.0,Frente,,3.0,1.0,Muy Bueno,1.0,,,$,1295000.0,Agronomía,95.0,13631.578947368422,0.2277992277992278,0.042105263157894736,21-40,14.07402202531625
https://www.argenprop.com/departamento-alquiler--18106674,900000.0,180000.0,"Agronomia, Capital Federal",76.0,10.0,2.0,3.0,Contra frente,Noreste,2.0,,,,,,$,1080000.0,Agronomía,76.0,14210.526315789473,0.16666666666666666,0.039473684210526314,6-10,13.8924725250259
https://www.argenprop.com/departamento-alquiler--18253422,370000.0,170000.0,"Agronomia, Capital Federal",36.0,10.0,1.0,,Frente,Este,,,Muy Bueno,,Apto profesi.,,$,540000.0,Agronomía,36.0,15000.0,0.3148148148148148,,6-10,13.199326270390594
https://www.argenprop.com/departamento-alquiler--18096008,400000.0,100000.0,"Agronomia, Capital Federal",,45.0,1.0,2.0,,,1.0,,,,,,$,500000.0,Agronomía,,,0.2,,41-80,13.122365377402328
