Link,precio,expensas,Barrio,Sup. cubierta,Antiguedad,Baños,Ambientes,Disposición,Orientación,Dormitorios,Toilettes,Estado,Cocheras,Apto profesional,Permite mascota,Moneda,Total,Barrio_simplificado,m2,precio_m2,expensas_ratio,amb_m2,Antig_binned,log_total
https://www.argenprop.com/departamento-alquiler--18048667,550000.0,84000.0,"Agronomia, Capital Federal",34.0,10.0,1.0,,Interno,Oeste,,,,,,,$,634000.0,Agronomía,34.0,18647.058823529413,0.1324921135646687,,6-10,13.359805810705184
https://www.argenprop.com/departamento-alquiler--17701806,490000.0,0.0,"Agronomia, Capital Federal",40.0,10.0,1.0,,Frente,Este,,,Excelente,,,,$,490000.0,Agronomía,40.0,12250.0,0.0,,6-10,13.102162710901052
https://www.argenprop.com/departamento-alquiler--17998788,580000.0,140000.0,"Agronomia, Capital Federal",50.0,6.0,1.0,2.0,Frente,Este,1.0,,Muy Bueno,,,,$,720000.0,Agronomía,50.0,14400.0,0.1944444444444444,0.04,6-10,13.487007879880162
https://www.argenprop.com/departamento-alquiler--18181336,800000.0,250000.0,"Agronomia, Capital Federal",57.0,10.0,2.0,3.0,Contra frente,Noroeste,2.0,,,,,,$,1050000.0,Agronomía,57.0,18421.052631578947,0.238095238095238,0.0526315789473684,6-10,13.864301674514206
https://www.argenprop.com/departamento-alquiler--18164900,500000.0,78000.0,"Agronomia, Capital Federal",43.0,40.0,1.0,2.0,Lateral,Norte,1.0,,Bueno,,,,$,578000.0,Agronomía,43.0,13441.86046511628,0.1349480968858131,0.0465116279069767,21-40,13.267330877756825
https://www.argenprop.com/departamento-alquiler--18106674,900000.0,180000.0,"Agronomia, Capital Federal",76.0,10.0,2.0,3.0,Contra frente,Noreste,2.0,,,,,,$,1080000.0,Agronomía,76.0,14210.526315789471,0.1666666666666666,0.0394736842105263,6-10,13.8924725250259
https://www.argenprop.com/departamento-alquiler--18253422,370000.0,170000.0,"Agronomia, Capital Federal",36.0,10.0,1.0,,Frente,Este,,,Muy Bueno,,Apto profesi.,,$,540000.0,Agronomía,36.0,15000.0,0.3148148148148148,,6-10,13.199326270390594
https://www.argenprop.com/departamento-alquiler--18096008,400000.0,100000.0,"Agronomia, Capital Federal",,45.0,1.0,2.0,,,1.0,,,,,,$,500000.0,Agronomía,,,0.2,,41-80,13.122365377402328
https://www.argenprop.com/departamento-alquiler--18101353,580000.0,177000.0,"Agronomia, Capital Federal",45.0,15.0,1.0,2.0,Contra Frente,Este,1.0,,Muy Bueno,,,,$,757000.0,Agronomía,45.0,16822.222222222223,0.2338177014531043,0.0444444444444444,11-20,13.537119853422675
https://www.argenprop.com/departamento-alquiler--17925258,400000.0,85000.0,"Agronomia, Capital Federal",,,1.0,2.0,,,1.0,,,,,,$,485000.0,Agronomía,,,0.1752577319587628,,,13.091906231773164
https://www.argenprop.com/departamento-alquiler--18112758,600000.0,100000.0,"Agronomia, Capital Federal",30.0,7.0,1.0,,Frente,Norte,,,Excelente,1.0,,,$,700000.0,Agronomía,30.0,23333.33333333333,0.1428571428571428,,6-10,13.45883704259595
https://www.argenprop.com/departamento-alquiler--18049138,590000.0,50000.0,"Agronomia, Capital Federal",32.0,10.0,1.0,2.0,Contra Frente,Este,1.0,,Excelente,,,,$,640000.0,Agronomía,32.0,20000.0,0.078125,0.0625,6-10,13.369225017834632
https://www.argenprop.com/departamento-alquiler--18192858,550000.0,110000.0,"Agronomia, Capital Federal",34.0,45.0,1.0,2.0,,,1.0,,Muy Bueno,,,,$,660000.0,Agronomía,34.0,19411.764705882357,0.1666666666666666,0.0588235294117647,41-80,13.399996629152977
https://www.argenprop.com/departamento-alquiler--18198844,600000.0,70000.0,"Agronomia, Capital Federal",40.0,60.0,1.0,2.0,Interno,Este,1.0,,,,,,$,670000.0,Agronomía,40.0,16750.0,0.1044776119402985,0.05,41-80,13.415034483903348
https://www.argenprop.com/departamento-alquiler--18145711,350000.0,95000.0,"Agronomia, Capital Federal",33.0,,,,,,1.0,,,,,,$,445000.0,Agronomía,33.0,13484.848484848484,0.2134831460674157,,,13.005831808336865
https://www.argenprop.com/departamento-alquiler--18289408,950000.0,320000.0,"Almagro, Capital Federal",54.0,25.0,1.0,3.0,Contra Frente,,2.0,,Excelente,,,,$,1270000.0,Almagro,54.0,23518.51851851852,0.2519685039370078,0.0555555555555555,21-40,14.05452824583604
https://www.argenprop.com/departamento-alquiler--15557665,780000.0,0.0,"Almagro, Capital Federal",55.0,45.0,1.0,2.0,Contra Frente,Sureste,1.0,,Muy Bueno,,,,$,780000.0,Almagro,55.0,14181.818181818182,0.0,0.0363636363636363,41-80,13.567050480716237
https://www.argenprop.com/departamento-alquiler--18321642,950000.0,232000.0,"Almagro Norte, Almagro",83.0,60.0,2.0,4.0,Frente,,3.0,,Muy Bueno,,,,$,1182000.0,Almagro,83.0,14240.963855421687,0.1962774957698815,0.0481927710843373,41-80,13.982719322971512
https://www.argenprop.com/departamento-alquiler--10406227,480000.0,0.0,"Almagro, Capital Federal",30.0,45.0,1.0,,Contra Frente,,,,Muy Bueno,,,,$,480000.0,Almagro,30.0,16000.0,0.0,,41-80,13.081543466215235
https://www.argenprop.com/departamento-alquiler--18313993,530000.0,0.0,"Almagro, Capital Federal",42.0,70.0,1.0,2.0,Lateral,Norte,1.0,,Bueno,,,Per. mascota,$,530000.0,Almagro,42.0,12619.047619047618,0.0,0.0476190476190476,41-80,13.180634172318978
https://www.argenprop.com/departamento-alquiler--17852756,490000.0,120000.0,"Almagro, Capital Federal",,40.0,1.0,2.0,Lateral,Noreste,1.0,,Bueno,,Apto profesi.,Per. mascota,$,610000.0,Almagro,,,0.1967213114754098,,21-40,13.321215875492411
https://www.argenprop.com/departamento-alquiler--6561459,1100000.0,0.0,"Almagro, Capital Federal",65.0,45.0,1.0,4.0,Frente,,3.0,,Muy Bueno,,,,$,1100000.0,Almagro,65.0,16923.076923076922,0.0,0.0615384615384615,41-80,13.910821646859096
https://www.argenprop.com/departamento-alquiler--18205215,500000.0,87000.0,"Almagro, Capital Federal",26.0,,1.0,,Frente,,,,Excelente,,,,$,587000.0,Almagro,26.0,22576.92307692308,0.1482112436115843,,,13.282781802386296
https://www.argenprop.com/departamento-alquiler--18227951,570000.0,90000.0,"Almagro Norte, Almagro",38.0,,1.0,,Frente,Este,,,Excelente,,Apto profesi.,Per. mascota,$,660000.0,Almagro,38.0,17368.42105263158,0.1363636363636363,,,13.399996629152977
https://www.argenprop.com/departamento-alquiler--18300453,400000.0,86000.0,"Almagro, Capital Federal",23.0,70.0,1.0,2.0,Lateral,,1.0,,Bueno,,,,$,486000.0,Almagro,23.0,21130.434782608696,0.176954732510288,0.0869565217391304,41-80,13.093965960493682
https://www.argenprop.com/departamento-alquiler--18322128,550000.0,80000.0,"Almagro, Capital Federal",32.0,,1.0,,Frente,,,,Excelente,,,,$,630000.0,Almagro,32.0,19687.5,0.1269841269841269,,,13.353476685668044
